,Imdb_Id,Title,Plot,Type_x_x,Rated,Year,Released_At,Added_At,Runtime_x,Genre,Director_x,Writer,Actors,Language_x,Country_x,Awards,Metascore,Imdb_Rating,Imdb_Votes,Show_Id,Type_y_x,Director_y,Cast,Country_y,Date_Added,Release_Year,Rating,Duration,Listed_In,Description,ID_x,Year_x,Age_x,IMDb_x,Rotten Tomatoes_x,Type_x_y,Directors,Genres,Country,Language_y,Runtime_y,ID_y,Year_y,Age_y,IMDb_y,Rotten Tomatoes_y,Type_y_y
0,tt0147800,10 Things I Hate About You,"A pretty, popular teenager can't go out on a date until her ill-tempered older sister does.",movie,PG-13,1999,31 Mar 1999,"November 12, 2019",97 min,"Comedy, Drama, Romance",Gil Junger,"Karen McCullah, Kirsten Smith","Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik","English, French",USA,2 wins & 13 nominations.,70.0,7.3,"283,945",s634,Movie,Gil Junger,"Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik, David Krumholtz, Andrew Keegan",United States,"November 12, 2019",1999.0,PG-13,98 min,"Comedy, Coming of Age, Romance","Cameron falls for the girl of his dreams, but she is forbidden to date.",,,,,,,,,,,,2323.0,2009.0,16+,7.3/10,67/100,1.0
1,tt7019028,101 Dalmatian Street,"This series follows the lives of Delilah and Doug, descendants of Pongo and Perdita, and their 99 dalmatian pups at 101 Dalmatian Street, Camden Town.",series,,2018–,25 Mar 2019,"February 28, 2020",,"Animation, Comedy, Family",,,"Josh Brener, Michaela Dietz, Bert Davis, Abigail Zoe Lewis",English,"UK, USA, Canada",,,6.2,124,s537,TV Show,,"Josh Brener, Michaela Dietz, Ella Kenion, Rhashan Stone","United Kingdom, United States, Canada","February 28, 2020",2018.0,TV-Y7,1 Season,"Action-Adventure, Animation, Comedy",Pups Dolly and Dylan adventure to find their spots.,,,,,,,,,,,,5605.0,2019.0,7+,6.3/10,44/100,1.0
2,tt0115433,101 Dalmatians,"An evil high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess.",movie,G,1996,27 Nov 1996,"November 12, 2019",103 min,"Adventure, Comedy, Crime, Family",Stephen Herek,"Dodie Smith (novel), John Hughes (screenplay)","Glenn Close, Jeff Daniels, Joely Richardson, Joan Plowright","English, Spanish","USA, UK",Nominated for 1 Golden Globe. Another 3 wins & 9 nominations.,49.0,5.7,"97,785",s635,Movie,"Wolfgang Reitherman, Hamilton Luske, Clyde Geronimi","Rod Taylor, J. Pat O'Malley, Betty Gerson, Cate Bauer, Ben Wright, Fred Worlock",United States,"November 12, 2019",1961.0,G,81 min,"Action-Adventure, Animation, Family",Cruella De Vil dognaps all of the Dalmatian puppies in London.,,,,,,,,,,,,5695.0,1997.0,,,21/100,1.0
3,tt0324941,101 Dalmatians 2: Patch's London Adventure,"Being one of 101 takes its toll on Patch, who doesn't feel unique. When he's accidentally left behind on moving day, he meets his idol, Thunderbolt, who enlists him on a publicity campaign.",movie,G,2002,21 Jan 2003,"November 12, 2019",74 min,"Animation, Adventure, Comedy, Family, Musical","Jim Kammerud, Brian Smith","Jim Kammerud (story), Dan Root (story), Garrett K. Schiff (story), Brian Smith (story), Jim Kammerud (screenplay), Brian Smith (screenplay), Dodie Smith (novel), Michael Lucker, Temple Mathews (additional script material)","Barry Bostwick, Jason Alexander, Martin Short, Bobby Lockwood",English,USA,5 wins & 10 nominations.,,5.8,"7,434",,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,tt0211181,102 Dalmatians,Cruella DeVil gets out of prison and goes after the puppies once more.,movie,G,2000,22 Nov 2000,"November 12, 2019",100 min,"Adventure, Comedy, Family",Kevin Lima,"Dodie Smith (novel), Kristen Buckley (story), Brian Regan (story), Kristen Buckley (screenplay), Brian Regan (screenplay), Bob Tzudiker (screenplay), Noni White (screenplay)","Glenn Close, Gérard Depardieu, Ioan Gruffudd, Alice Evans",English,"USA, UK",Nominated for 1 Oscar. Another 1 win & 7 nominations.,35.0,4.9,"33,444",s637,Movie,Kevin Lima,"Glenn Close, Ioan Gruffudd, Alice Evans, Tim McInnerny, Ian Richardson, Gérard Depardieu","United States, United Kingdom","November 12, 2019",2000.0,G,104 min,"Action-Adventure, Animals & Nature, Family","Oddball, the spotless Dalmatian puppy, heads out in search of his spots.",9007.0,2000.0,all,4.9/10,60/100,0.0,Kevin Lima,"Adventure,Comedy,Family","United States,United Kingdom,France",English,100.0,,,,,,
5,tt1846442,12 Dates of Christmas,"A story that follows Kate, a young woman who after a horrible blind date on Christmas Eve, wakes up to find she is re-living that same day and date all over again.",movie,PG,2011,11 Dec 2011,"November 12, 2019",90 min,"Comedy, Fantasy, Romance",James Hayman,"Aaron Mendelsohn (teleplay), Janet Brownell (teleplay), Aaron Mendelsohn (story), Blake Harris (story)","Laura Miyata, Vijay Mehta, Amy Smart, Audrey Dwyer",English,USA,1 nomination.,,6.3,"4,933",s638,Movie,James Hayman,"Amy Smart, Mark-Paul Gosselaar, Peter MacNeil, Mary Long, Jayne Eastwood, Laura Miyata",United States,"November 12, 2019",2011.0,TV-PG,88 min,"Comedy, Family, Fantasy","Setup on a Christmas Eve date, a woman must relive the date over and over.",9039.0,2011.0,7+,6.3/10,58/100,0.0,,"Game-Show,Reality-TV",United States,English,45.0,,,,,,
6,tt0046672,"20,000 Leagues Under the Sea","A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.",movie,G,1954,20 Jul 1955,"November 12, 2019",127 min,"Adventure, Drama, Family, Fantasy, Sci-Fi",Richard Fleischer,Earl Felton (screenplay),"Kirk Douglas, James Mason, Paul Lukas, Peter Lorre",English,USA,Won 2 Oscars. Another 3 wins & 3 nominations.,83.0,7.2,"27,761",s639,Movie,Richard Fleischer,"Kirk Douglas, James Mason, Paul Lukas, Peter Lorre, Robert Wilke, Ted de Corsia",United States,"November 12, 2019",1954.0,G,127 min,"Action-Adventure, Family, Science Fiction",Climb aboard the Nautilus and into an undersea world of adventure! See details for advisory.,8824.0,1954.0,all,7.2/10,69/100,0.0,Richard Fleischer,"Adventure,Drama,Family,Fantasy,Sci-Fi",United States,English,127.0,,,,,,
7,tt0120623,A Bug's Life,"A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.",movie,G,1998,25 Nov 1998,"November 12, 2019",95 min,"Animation, Adventure, Comedy, Family","John Lasseter, Andrew Stanton(co-director)","John Lasseter (original story by), Andrew Stanton (original story by), Joe Ranft (original story by), Andrew Stanton (screenplay by), Don McEnery (screenplay by), Bob Shaw (screenplay by)","Dave Foley, Kevin Spacey, Julia Louis-Dreyfus, Hayden Panettiere",English,USA,Nominated for 1 Oscar. Another 14 wins & 20 nominations.,77.0,7.2,"257,065",s640,Movie,John Lasseter,"Dave Foley, Kevin Spacey, Julia Louis-Dreyfus, Hayden Panettiere, Phyllis Diller, Richard Kind",United States,"November 12, 2019",1998.0,G,98 min,"Animation, Comedy, Family",Flik goes in search of warriors to help battle the villainous grasshoppers.,8693.0,1998.0,all,7.2/10,79/100,0.0,"John Lasseter,Andrew Stanton","Animation,Adventure,Comedy,Family",United States,English,95.0,,,,,,
8,tt12076020,A Celebration of the Music from Coco,,movie,,2020,10 Apr 2020,"April 10, 2020",,Music,Ron de Moraes,,"Benjamin Bratt, Eva Longoria",English,USA,,,7.6,35,s488,Movie,Ron de Moraes,"Benjamin Bratt, Eva Longoria, Carlos Rivera, Natalia Jiménez, Alanna Ubach, Jaime Camil",United States,"April 10, 2020",2020.0,TV-PG,48 min,"Concert Film, Music, Musical",“Coco” is brought to life on stage with musical performances at the historic Hollywood Bowl.,9382.0,2020.0,,7.1/10,45/100,0.0,Ron de Moraes,"Music,Musical",United States,English,47.0,,,,,,
9,tt0113198,A Goofy Movie,"When Max makes a preposterous promise to a girl he has a crush on, his chances to fulfilling it seem hopeless when he is dragged onto a cross-country trip with his embarrassing father, Goofy.",movie,G,1995,07 Apr 1995,"November 12, 2019",78 min,"Animation, Adventure, Comedy, Family, Musical, Romance",Kevin Lima,"Jymn Magon (story), Jymn Magon (screenplay), Chris Matheson (screenplay), Brian Pimental (screenplay), Brian Pimental (story supervisor), Curtis Armstrong (additional written material), John Doolittle (additional written material)","Bill Farmer, Jason Marsden, Jim Cummings, Kellie Martin",English,"USA, Australia, France, Canada",5 nominations.,,6.8,"43,655",s641,Movie,Kevin Lima,"Bill Farmer, Jason Marsden, Jim Cummings, Kellie Martin, Rob Paulsen, Wallace Shawn","United States, Australia, France, Canada","November 12, 2019",1995.0,G,81 min,"Action-Adventure, Animation, Comedy",Goofy and Max hit the road and get up to their floppy ears in misadventure.,8790.0,1995.0,all,6.9/10,71/100,0.0,Kevin Lima,"Animation,Adventure,Comedy,Family,Musical,Romance","United States,Australia,France,Canada",English,78.0,,,,,,
